time,person_id,pos_x,pos_y,pos_z,velocity,motion_angle,facing_angle
1352853341.51,9354100,16135,-11591,1754.739,561.823,2.584,0.0
1352853341.548,9354100,16137,-11590,1753.102,553.647,2.603,2.27
1352853341.588,9354100,16114,-11558,1749.281,559.985,2.596,2.6
1352853341.626,9354100,16083,-11534,1744.035,610.55,2.585,2.633
1352853341.662,9354100,16073,-11533,1739.091,625.263,2.606,2.683
1352853341.699,9354100,16075,-11532,1734.47,613.464,2.602,2.667
1352853341.736,9354100,15969,-11449,1733.496,949.416,2.38,2.499
1352853341.772,9354100,15944,-11431,1733.493,889.913,2.343,2.527
1352853341.809,9354100,15918,-11409,1733.493,888.116,2.314,2.536
1352853341.846,9354100,15899,-11389,1733.493,818.794,2.33,2.536
1352853341.882,9354100,15824,-11281,1728.995,1074.3,2.365,2.394
1352853341.918,9354100,15787,-11228,1721.557,1167.341,2.363,2.418
1352853341.956,9354100,15762,-11182,1713.437,1131.0,2.322,2.397
1352853341.996,9354100,15726,-11159,1709.035,1174.036,2.396,2.414
1352853342.034,9354100,15691,-11128,1699.059,1190.453,2.349,2.393
1352853342.07,9354100,15677,-11108,1689.741,1136.462,2.326,2.381
1352853342.11,9354100,15652,-11077,1689.816,1061.29,2.28,2.382
1352853342.15,9354100,15617,-11040,1689.816,1070.659,2.347,2.383
1352853342.187,9354100,15555,-10989,1682.358,1190.747,2.429,2.443
1352853342.225,9354100,15511,-10955,1677.88,1172.463,2.44,2.432
1352853342.262,9354100,15475,-10927,1674.263,1205.986,2.451,2.456
1352853342.302,9354100,15426,-10882,1665.843,1282.326,2.434,2.45
1352853342.341,9354100,15401,-10852,1657.493,1302.256,2.389,2.457
1352853342.381,9354100,15364,-10808,1650.721,1320.482,2.418,2.457
1352853342.419,9354100,15356,-10775,1643.087,1227.999,2.353,2.474
1352853342.457,9354100,15351,-10759,1635.072,1127.269,2.375,2.491
1352853342.494,9354100,15312,-10699,1633.233,1207.625,2.412,2.445
1352853342.531,9354100,15289,-10627,1632.614,1312.106,2.352,2.366
1352853342.568,9354100,15253,-10597,1632.66,1290.878,2.355,2.399
1352853342.606,9354100,15220,-10560,1632.66,1211.804,2.389,2.398
1352853342.644,9354100,15186,-10623,1628.671,1083.214,2.51,2.587
1352853342.681,9354100,15190,-10600,1626.869,992.775,2.49,2.536
1352853342.718,9354100,15220,-10612,1623.723,823.461,2.475,2.528
1352853342.758,9354100,15180,-10571,1617.719,881.6,2.498,2.522
1352853342.795,9354100,15147,-10537,1611.718,854.593,2.482,2.52
1352853342.834,9354100,15117,-10522,1611.854,789.033,2.463,2.573
1352853342.87,9354100,15098,-10508,1611.854,769.338,2.49,2.599
1352853342.909,9354100,15059,-10449,1603.845,842.515,2.343,2.477
1352853342.948,9354100,15041,-10417,1595.485,810.592,2.295,2.453
1352853342.986,9354100,15063,-10433,1628.249,738.909,2.354,2.423
1352853343.025,9354100,15017,-10412,1618.908,844.651,2.436,2.507
1352853343.064,9354100,14966,-10378,1611.911,934.608,2.444,2.527
1352853343.101,9354100,14929,-10375,1597.676,940.144,2.48,2.544
1352853343.138,9354100,14901,-10345,1580.533,1010.824,2.427,2.554
1352853343.178,9354100,14866,-10298,1576.457,1082.266,2.413,2.511
1352853343.218,9354100,14846,-10231,1575.109,1097.347,2.387,2.456
1352853343.256,9354100,14840,-10164,1576.262,1107.026,2.33,2.427
1352853343.291,9354100,14821,-10095,1575.984,1215.532,2.284,2.34
1352853343.328,9354100,14794,-10035,1575.05,1255.571,2.311,2.314
1352853343.364,9354100,14791,-9845,1582.706,1392.902,2.136,2.09
1352853343.404,9354100,14762,-9763,1582.637,1395.284,2.117,2.084
1352853343.442,9354100,14731,-9716,1600.116,1454.981,2.097,2.022
1352853343.48,9354100,14683,-9716,1593.842,1448.982,2.21,2.056
1352853343.519,9354100,14637,-9712,1584.771,1334.858,2.215,2.088
1352853343.556,9354100,14623,-9710,1581.88,1201.492,2.195,2.095
1352853343.596,9354100,14592,-9719,1577.674,1105.071,2.285,2.175
1352853343.635,9354100,14543,-9696,1572.63,1057.094,2.332,2.226
1352853343.671,9354100,14523,-9665,1568.888,1085.654,2.333,2.233
1352853343.711,9354100,14483,-9631,1566.041,1074.783,2.305,2.228
1352853343.751,9354100,14456,-9593,1566.364,1050.119,2.317,2.235
1352853343.794,9354100,14420,-9555,1566.364,1073.269,2.286,2.219
1352853343.833,9354100,14379,-9524,1588.848,1025.256,2.31,2.312
1352853343.87,9354100,14344,-9493,1600.828,1067.335,2.328,2.387
1352853343.905,9354100,14320,-9467,1596.893,1032.406,2.379,2.387
1352853343.942,9354100,14309,-9448,1591.137,980.094,2.318,2.317
1352853343.981,9354100,14278,-9420,1587.317,1021.753,2.32,2.323
1352853344.016,9354100,14245,-9393,1587.28,1008.047,2.387,2.399
1352853344.056,9354100,14213,-9367,1587.28,975.291,2.384,2.39
1352853344.095,9354100,14193,-9335,1586.215,1011.372,2.432,2.464
1352853344.133,9354100,14170,-9307,1584.898,1049.048,2.536,2.569
1352853344.169,9354100,14152,-9285,1579.454,1072.895,2.514,2.521
1352853344.207,9354100,14133,-9252,1571.608,1018.837,2.507,2.496
1352853344.244,9354100,14089,-9203,1592.238,1083.119,2.513,2.5
1352853344.281,9354100,14058,-9171,1623.172,1089.495,2.466,2.537
1352853344.319,9354100,14040,-9149,1646.225,1007.579,2.538,2.578
1352853344.355,9354100,14020,-9102,1664.515,1002.743,2.348,2.417
1352853344.39,9354100,14022,-9067,1674.59,970.533,2.245,2.311
1352853344.427,9354100,13992,-9062,1667.912,908.115,2.268,2.326
1352853344.466,9354100,13974,-9035,1660.802,893.354,2.262,2.288
1352853344.504,9354100,13962,-9012,1647.435,824.656,2.263,2.302
1352853344.543,9354100,13935,-8985,1635.282,825.276,2.315,2.315
1352853344.579,9354100,13926,-8953,1645.136,776.502,2.286,2.285
1352853344.618,9354100,13876,-8900,1640.143,801.926,2.284,2.249
1352853344.655,9354100,13845,-8859,1632.856,834.877,2.212,2.213
1352853344.694,9354100,13826,-8821,1616.796,893.678,2.263,2.233
1352853344.73,9354100,13799,-8792,1599.902,902.16,2.327,2.287
1352853344.766,9354100,13772,-8749,1590.575,929.945,2.315,2.284
1352853344.802,9354100,13730,-8710,1597.528,977.005,2.33,2.312
1352853344.837,9354100,13702,-8670,1604.723,976.737,2.369,2.313
1352853344.874,9354100,13669,-8639,1597.205,1025.446,2.34,2.347
1352853344.913,9354100,13622,-8619,1588.962,1141.14,2.356,2.374
1352853344.95,9354100,13589,-8592,1604.055,1147.774,2.352,2.369
1352853344.991,9354100,13568,-8556,1614.001,1139.236,2.27,2.329
1352853345.033,9354100,13535,-8523,1619.316,1169.996,2.262,2.283
1352853345.072,9354100,13507,-8486,1609.259,1199.671,2.244,2.302
1352853345.107,9354100,13480,-8457,1599.771,1245.469,2.293,2.334
1352853345.144,9354100,13447,-8419,1674.343,1224.733,2.301,2.312
1352853345.181,9354100,13433,-8385,1701.434,1150.009,2.29,2.312
1352853345.218,9354100,13387,-8366,1697.832,1180.039,2.378,2.419
1352853345.257,9354100,13349,-8352,1690.404,1101.123,2.498,2.433
1352853345.295,9354100,13330,-8333,1678.547,1208.851,2.425,2.393
1352853345.332,9354100,13296,-8305,1664.462,1297.806,2.414,2.382
1352853345.372,9354100,13268,-8269,1650.911,1272.399,2.381,2.381
1352853345.41,9354100,13244,-8236,1651.182,1185.435,2.371,2.392
1352853345.446,9354100,13237,-8212,1650.301,1137.933,2.422,2.394
1352853345.484,9354100,13213,-8179,1645.964,1140.447,2.431,2.43
1352853345.521,9354100,13191,-8150,1641.009,1146.727,2.508,2.48
1352853345.556,9354100,13180,-8146,1632.091,1142.939,2.484,2.494
1352853345.592,9354100,13157,-8134,1623.519,1123.669,2.539,2.499
1352853345.629,9354100,13126,-8088,1619.919,1140.643,2.502,2.513
1352853345.668,9354100,13093,-8062,1616.801,1168.881,2.512,2.512
1352853345.706,9354100,13063,-8018,1642.062,1149.97,2.476,2.529
1352853345.742,9354100,13003,-7974,1638.733,1207.835,2.408,2.464
1352853345.779,9354100,12952,-7964,1633.522,1307.468,2.457,2.46
1352853345.816,9354100,12926,-7929,1625.669,1244.997,2.453,2.427
1352853345.851,9354100,12900,-7918,1618.045,1182.24,2.449,2.395
1352853345.888,9354100,12876,-7886,1618.15,1128.935,2.433,2.431
1352853345.928,9354100,12868,-7885,1615.92,1020.649,2.446,2.414
